diseaseId
EFO_0022597 
MONDO_0010574
MONDO_0010589
EFO_1000680
MONDO_0008021
EFO_0000544
EFO_0001066
MONDO_0008006
MONDO_0017435
MONDO_0001475
EFO_0006544
MONDO_0003783
MONDO_0011142
MONDO_0100137
EFO_1000284
MONDO_0009685
MONDO_0009901
EFO_0006890
EFO_0009686
EFO_1001388
MONDO_0000179
MONDO_0008800
MONDO_0019508
EFO_0008601
MONDO_0019917
